collection_slug	category	gutenberg_id	slug	title	author	language	page_url	epub_url	selection_note
Gutenberg_Fiction	Fiction	43	43_the_strange_case_of_dr_jekyll_and_mr_hyde	The Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	en	https://www.gutenberg.org/ebooks/43	https://www.gutenberg.org/ebooks/43.epub3.images	Compact novella; pin text record 43 over alternate record 42.
Gutenberg_Fiction	Fiction	209	209_the_turn_of_the_screw	The Turn of the Screw	Henry James	en	https://www.gutenberg.org/ebooks/209	https://www.gutenberg.org/ebooks/209.epub3.images	Compact novella with a frame narrative.
Gutenberg_Fiction	Fiction	1063	1063_the_cask_of_amontillado	The Cask of Amontillado	Edgar Allan Poe	en	https://www.gutenberg.org/ebooks/1063	https://www.gutenberg.org/ebooks/1063.epub3.images	Short-story boundary case.
Gutenberg_Fiction	Fiction	174	174_the_picture_of_dorian_gray	The Picture of Dorian Gray	Oscar Wilde	en	https://www.gutenberg.org/ebooks/174	https://www.gutenberg.org/ebooks/174.epub3.images	Short canonical novel.
Gutenberg_Fiction	Fiction	32	32_herland	Herland	Charlotte Perkins Gilman	en	https://www.gutenberg.org/ebooks/32	https://www.gutenberg.org/ebooks/32.epub3.images	Short speculative novel.
Gutenberg_Fiction	Fiction	159	159_the_island_of_doctor_moreau	The Island of Doctor Moreau	H. G. Wells	en	https://www.gutenberg.org/ebooks/159	https://www.gutenberg.org/ebooks/159.epub3.images	Short speculative novel.
Gutenberg_Fiction	Fiction	64317	64317_the_great_gatsby	The Great Gatsby	F. Scott Fitzgerald	en	https://www.gutenberg.org/ebooks/64317	https://www.gutenberg.org/ebooks/64317.epub3.images	Compact twentieth-century novel; US public-domain record.
Gutenberg_Fiction	Fiction	1342	1342_pride_and_prejudice	Pride and Prejudice	Jane Austen	en	https://www.gutenberg.org/ebooks/1342	https://www.gutenberg.org/ebooks/1342.epub3.images	Pin the established record 1342 over alternate editions.
Gutenberg_Fiction	Fiction	41445	41445_frankenstein_1818	Frankenstein; Or, The Modern Prometheus	Mary Shelley	en	https://www.gutenberg.org/ebooks/41445	https://www.gutenberg.org/ebooks/41445.epub3.images	Improved 1818 first edition; chosen over records 84 and 42324.
Gutenberg_Fiction	Fiction	345	345_dracula	Dracula	Bram Stoker	en	https://www.gutenberg.org/ebooks/345	https://www.gutenberg.org/ebooks/345.epub3.images	Pin the established text record 345.
Gutenberg_Fiction	Fiction	1260	1260_jane_eyre	Jane Eyre: An Autobiography	Charlotte Bronte	en	https://www.gutenberg.org/ebooks/1260	https://www.gutenberg.org/ebooks/1260.epub3.images	Illustrated edition; useful asset test.
