collection_slug	category	gutenberg_id	slug	title	author	language	source_url	download_url	bytes	sha256
Gutenberg_Fiction	Fiction	43	43_the_strange_case_of_dr_jekyll_and_mr_hyde	The Strange Case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	en	https://www.gutenberg.org/ebooks/43	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/43_the_strange_case_of_dr_jekyll_and_mr_hyde.crbook	645666	d58c5f8803c1fc35706338eb8778d198c01a5f76041c2ad4e60710b20cae6af3
Gutenberg_Fiction	Fiction	209	209_the_turn_of_the_screw	The Turn of the Screw	Henry James	en	https://www.gutenberg.org/ebooks/209	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/209_the_turn_of_the_screw.crbook	812755	86921daec22ff13de958ca52e56dc47b2d4faa1ffd360b2418695783f9e6a6a9
Gutenberg_Fiction	Fiction	1063	1063_the_cask_of_amontillado	The Cask of Amontillado	Edgar Allan Poe	en	https://www.gutenberg.org/ebooks/1063	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1063_the_cask_of_amontillado.crbook	148409	805580aa4189a64857a9406685d46103f9a4c3405092404e444daa7dd8421cfd
Gutenberg_Fiction	Fiction	174	174_the_picture_of_dorian_gray	The Picture of Dorian Gray	Oscar Wilde	en	https://www.gutenberg.org/ebooks/174	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/174_the_picture_of_dorian_gray.crbook	995561	7a39b58e6e268da9c0da4ceae499468c6ce6faae3c92abfdbcf2642eeb55aa19
Gutenberg_Fiction	Fiction	32	32_herland	Herland	Charlotte Perkins Gilman	en	https://www.gutenberg.org/ebooks/32	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/32_herland.crbook	472367	9c5040e5160b38c6ac4f9c17772af0248613552682b5d5f09e0e62687bb22e35
Gutenberg_Fiction	Fiction	159	159_the_island_of_doctor_moreau	The Island of Doctor Moreau	H. G. Wells	en	https://www.gutenberg.org/ebooks/159	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/159_the_island_of_doctor_moreau.crbook	842188	4577d762331129580b7dc6d519f2fd8853aaff07c1686e92563664e4d5fc334b
Gutenberg_Fiction	Fiction	64317	64317_the_great_gatsby	The Great Gatsby	F. Scott Fitzgerald	en	https://www.gutenberg.org/ebooks/64317	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/64317_the_great_gatsby.crbook	808941	7d7e064260f6c8aa62461b91ab81bf2ec17598efcae68fa3b7ed17a9e34294f6
Gutenberg_Fiction	Fiction	1342	1342_pride_and_prejudice	Pride and Prejudice	Jane Austen	en	https://www.gutenberg.org/ebooks/1342	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1342_pride_and_prejudice.crbook	49037094	b9db1d478dc4125b1438965fda3cdbd9e9acce47cc3d3a2ff9fd50af35f0e1cf
Gutenberg_Fiction	Fiction	41445	41445_frankenstein_1818	Frankenstein; Or, The Modern Prometheus	Mary Shelley	en	https://www.gutenberg.org/ebooks/41445	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/41445_frankenstein_1818.crbook	777955	83ebb3e33fd58b8226508c6ca672fa95497185acb6889ff44ac947c18c8c869a
Gutenberg_Fiction	Fiction	345	345_dracula	Dracula	Bram Stoker	en	https://www.gutenberg.org/ebooks/345	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/345_dracula.crbook	1458793	5e5191113b2c362ba57d7b18a0e65ed2503cf7dfc6d860d8eb69bfb1d39e987e
Gutenberg_Fiction	Fiction	1260	1260_jane_eyre	Jane Eyre: An Autobiography	Charlotte Bronte	en	https://www.gutenberg.org/ebooks/1260	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1260_jane_eyre.crbook	6455871	17f9d27dd3c246f8cf6478e1c9c5b5e62004992b6c8ffe725236ade4eda225a0
Gutenberg_Fiction	Fiction	768	768_wuthering_heights	Wuthering Heights	Emily Bronte	en	https://www.gutenberg.org/ebooks/768	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/768_wuthering_heights.crbook	1248734	fba242c07d1d8c201e7557a31d05c8f85f152a78c8322d42c70ed1f7cbb3cc85
Gutenberg_Fiction	Fiction	145	145_middlemarch	Middlemarch	George Eliot	en	https://www.gutenberg.org/ebooks/145	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/145_middlemarch.crbook	2646525	35f53c2e1d403df93b169bdef578ddf73a1800f163341756db6e4c7113970f54
Gutenberg_Fiction	Fiction	37106	37106_little_women	Little Women; Or, Meg, Jo, Beth, and Amy	Louisa May Alcott	en	https://www.gutenberg.org/ebooks/37106	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/37106_little_women.crbook	34194053	91be8a9eedc7c161cc2aafc2b3021c60348a173d1e9d27b7f93780eee907e004
Gutenberg_Fiction	Fiction	21839	21839_sense_and_sensibility	Sense and Sensibility	Jane Austen	en	https://www.gutenberg.org/ebooks/21839	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/21839_sense_and_sensibility.crbook	4286045	fe0a37969ee0369ed23d5484d74cce3e76ff3f3f12d261d3945e922a56c3fe74
Gutenberg_Fiction	Fiction	2641	2641_a_room_with_a_view	A Room with a View	E. M. Forster	en	https://www.gutenberg.org/ebooks/2641	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/2641_a_room_with_a_view.crbook	1016126	72497849816a560fcdc6ec745ef74aecbebe8cc88a7760168bbdc9d8c6b0b078
Gutenberg_Fiction	Fiction	1400	1400_great_expectations	Great Expectations	Charles Dickens	en	https://www.gutenberg.org/ebooks/1400	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1400_great_expectations.crbook	28999171	ef733d7c90f86cb8e93f596d93b6a0b850f05931f1f8600cfa283b37092a7504
Gutenberg_Fiction	Fiction	1661	1661_the_adventures_of_sherlock_holmes	The Adventures of Sherlock Holmes	Arthur Conan Doyle	en	https://www.gutenberg.org/ebooks/1661	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1661_the_adventures_of_sherlock_holmes.crbook	943307	caa892939122c7485a471cc15eee91d80ef43671be1f2753510db36499ab71d0
Gutenberg_Fiction	Fiction	2852	2852_the_hound_of_the_baskervilles	The Hound of the Baskervilles	Arthur Conan Doyle	en	https://www.gutenberg.org/ebooks/2852	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/2852_the_hound_of_the_baskervilles.crbook	719602	7dae5237f1a1f163aab88418b44a3dfb549b57b7deacd9ce9777b10752de5787
Gutenberg_Fiction	Fiction	863	863_the_mysterious_affair_at_styles	The Mysterious Affair at Styles	Agatha Christie	en	https://www.gutenberg.org/ebooks/863	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/863_the_mysterious_affair_at_styles.crbook	869610	4eb2a65d86ed864b505c17b444d05d494d2cc0ef70dd6c14923611d9c8ddc776
Gutenberg_Fiction	Fiction	583	583_the_woman_in_white	The Woman in White	Wilkie Collins	en	https://www.gutenberg.org/ebooks/583	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/583_the_woman_in_white.crbook	1791040	1a2c02aeb458ff8040e0e94f901bc56a2aa9fd453e99e87ec77af6df042241c7
Gutenberg_Fiction	Fiction	1695	1695_the_man_who_was_thursday	The Man Who Was Thursday: A Nightmare	G. K. Chesterton	en	https://www.gutenberg.org/ebooks/1695	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1695_the_man_who_was_thursday.crbook	920834	88951549efa27cceeb58a1719f86b6d740316cbb03df2b04321d6af405b6cb9d
Gutenberg_Fiction	Fiction	103	103_around_the_world_in_eighty_days	Around the World in Eighty Days	Jules Verne; translated by George Makepeace Towle	en	https://www.gutenberg.org/ebooks/103	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/103_around_the_world_in_eighty_days.crbook	962898	8dc0c53dd483d5f8ce204caf3ac1323f50611feab2ca92950507dc0cf9a1a1f8
Gutenberg_Fiction	Fiction	120	120_treasure_island	Treasure Island	Robert Louis Stevenson	en	https://www.gutenberg.org/ebooks/120	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/120_treasure_island.crbook	98354634	f83b23d27387d811922b152419d83ad6baa862e4f8019f5e1614ae96c84f3234
Gutenberg_Fiction	Fiction	55	55_the_wonderful_wizard_of_oz	The Wonderful Wizard of Oz	L. Frank Baum	en	https://www.gutenberg.org/ebooks/55	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/55_the_wonderful_wizard_of_oz.crbook	735309	617aafc81a6f39bd1e1a45b9a361ffe790fbc724d940eb5a7c5a98db0323319c
Gutenberg_Fiction	Fiction	271	271_black_beauty	Black Beauty	Anna Sewell	en	https://www.gutenberg.org/ebooks/271	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/271_black_beauty.crbook	879594	1ec673e96be5aeb07fd17081235bfdef47e671c16dcb9af030a2b5fef1dc85de
Gutenberg_Fiction	Fiction	1184	1184_the_count_of_monte_cristo	The Count of Monte Cristo	Alexandre Dumas and Auguste Maquet	en	https://www.gutenberg.org/ebooks/1184	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1184_the_count_of_monte_cristo.crbook	169442189	6020e338984ebc875f6123e3aa8371d1e8c718eb71547da9a438fb8adaffb568
Gutenberg_Fiction	Fiction	2701	2701_moby_dick	Moby Dick; Or, The Whale	Herman Melville	en	https://www.gutenberg.org/ebooks/2701	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/2701_moby_dick.crbook	2062970	a043f01255c51e19af862bd8f883328e6a8d78d6520c28c3ed3aa68c0908f821
Gutenberg_Fiction	Fiction	2554	2554_crime_and_punishment	Crime and Punishment	Fyodor Dostoyevsky; translated by Constance Garnett	en	https://www.gutenberg.org/ebooks/2554	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/2554_crime_and_punishment.crbook	1862196	fa217e7d02e285801f8317bf2e23cae7dd9ef436aea5e80acb95ab96f0dfdd51
Gutenberg_Fiction	Fiction	829	829_gullivers_travels	Gulliver's Travels into Several Remote Nations of the World	Jonathan Swift	en	https://www.gutenberg.org/ebooks/829	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/829_gullivers_travels.crbook	1605281	d1ddeb754208b03908947cbad4814722bf6d298f42d2916cfb400299a2bfd22f
Gutenberg_Drama_and_Poetry	Drama and Poetry	2542	2542_a_dolls_house	A Doll's House	Henrik Ibsen; translated by R. Farquharson Sharp	en	https://www.gutenberg.org/ebooks/2542	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/2542_a_dolls_house.crbook	532705	bcaf1f64df9c4e31494a96805240dc194b32582aebb84cae6f14eab448b9731b
Gutenberg_Drama_and_Poetry	Drama and Poetry	1727	1727_the_odyssey	The Odyssey	Homer; translated by Samuel Butler	en	https://www.gutenberg.org/ebooks/1727	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1727_the_odyssey.crbook	1077542	9ff7532d79ffb7a09b7134a2a9293cae0511f06a4faf5e00ff536d5cc7925899
Gutenberg_Drama_and_Poetry	Drama and Poetry	1513	1513_romeo_and_juliet	Romeo and Juliet	William Shakespeare	en	https://www.gutenberg.org/ebooks/1513	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1513_romeo_and_juliet.crbook	629952	7be5b16a68c8ec1c71f589158dc25e0f99d720e1765f43ac5773eef6b21e253c
Gutenberg_Drama_and_Poetry	Drama and Poetry	16328	16328_beowulf	Beowulf: An Anglo-Saxon Epic Poem	Anonymous; translated by J. Lesslie Hall	en	https://www.gutenberg.org/ebooks/16328	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/16328_beowulf.crbook	757475	c95ef3ba1b8223ef27933abc71110ba333c828b6a68beb0a0d3b5c0475b35a19
Gutenberg_Politics_and_Society	Politics and Society	3420	3420_a_vindication_of_the_rights_of_woman	A Vindication of the Rights of Woman	Mary Wollstonecraft	en	https://www.gutenberg.org/ebooks/3420	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/3420_a_vindication_of_the_rights_of_woman.crbook	751873	58130c473cd14e7480d8ec00cfc9206ffdbc97612c9b205987cf63b1056b91e6
Gutenberg_Politics_and_Society	Politics and Society	1497	1497_the_republic	The Republic	Plato; translated by Benjamin Jowett	en	https://www.gutenberg.org/ebooks/1497	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1497_the_republic.crbook	1388136	338934807e663bb14e319158a3747aa203291403bd536462cdef8c47f3098814
Gutenberg_Politics_and_Society	Politics and Society	1232	1232_the_prince	The Prince	Niccolo Machiavelli; translated by W. K. Marriott	en	https://www.gutenberg.org/ebooks/1232	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/1232_the_prince.crbook	776800	f2e7f74d8cb3bb492a91cb231c2a622fca488b60c49b3e894568f252a6cf040b
Gutenberg_Politics_and_Society	Politics and Society	3207	3207_leviathan	Leviathan	Thomas Hobbes	en	https://www.gutenberg.org/ebooks/3207	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/3207_leviathan.crbook	1995462	12d96ae1030d83d6a4ffe3833eb4456d586b044e05526ce78a7d4553613ef7f9
Gutenberg_Politics_and_Society	Politics and Society	34901	34901_on_liberty	On Liberty	John Stuart Mill	en	https://www.gutenberg.org/ebooks/34901	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/34901_on_liberty.crbook	450080	083a38b0bcf7c7c08d1646cbff1739de0787ce974359ea8146fe948c11c593ef
Gutenberg_Politics_and_Society	Politics and Society	3300	3300_the_wealth_of_nations	An Inquiry into the Nature and Causes of the Wealth of Nations	Adam Smith	en	https://www.gutenberg.org/ebooks/3300	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/3300_the_wealth_of_nations.crbook	2419577	436749d66900fe3cac8efa13b6c0a48ac92bfb8005837ff7b0fbc09a008a73f0
Gutenberg_Politics_and_Society	Politics and Society	61	61_the_communist_manifesto	The Communist Manifesto	Karl Marx and Friedrich Engels	en	https://www.gutenberg.org/ebooks/61	https://github.com/rahuldave/crbooks/releases/download/crbooks-2026-09-10/61_the_communist_manifesto.crbook	224843	303d66da96819bf64328fd42087bebaabd177687bd11ecee965c7e611bd6cd59
